sessions,timestamp,status
1,1736526986.6865623,start
2,1736526988.4584374,start
3,1736526991.125363,start
1,1736526993.482195,labels_received
4,1736526994.597146,start
5,1736526998.5031872,start
2,1736527000.0586915,labels_received
6,1736527002.6281214,start
3,1736527006.925048,labels_received
7,1736527007.2483015,start
8,1736527012.32339,start
4,1736527021.9422183,labels_received
9,1736527023.2134922,start
10,1736527030.611982,start
5,1736527038.2769842,labels_received
11,1736527038.6442368,start
12,1736527051.073813,start
13,1736527060.561732,start
6,1736527061.5643167,labels_received
14,1736527070.9473855,start
7,1736527073.0901165,labels_received
15,1736527082.20768,start
8,1736527092.2972186,labels_received
16,1736527094.3109334,start
17,1736527107.110356,start
9,1736527115.358071,labels_received
18,1736527120.275447,start
19,1736527134.2033508,start
10,1736527136.7816598,labels_received
20,1736527150.3942394,start
11,1736527163.678884,labels_received
21,1736527166.819236,start
22,1736527182.5037203,start
12,1736527192.16115,labels_received
23,1736527203.025454,start
24,1736527220.5591009,start
13,1736527228.5105176,labels_received
25,1736527239.198529,start
26,1736527258.769095,start
14,1736527265.4954338,labels_received
27,1736527279.5453565,start
15,1736527295.3528652,labels_received
28,1736527299.9188752,start
29,1736527321.002764,start
16,1736527322.5890255,labels_received
30,1736527342.6564302,start
17,1736527356.20345,labels_received
31,1736527388.6365263,start
18,1736527390.2745702,labels_received
32,1736527415.618472,start
19,1736527428.9840562,labels_received
33,1736527440.3756282,start
34,1736527465.5937674,start
20,1736527468.2024903,labels_received
35,1736527493.6492038,start
21,1736527503.9813864,labels_received
36,1736527519.4649217,start
22,1736527543.571181,labels_received
37,1736527548.1758878,start
38,1736527576.1272693,start
23,1736527590.4746444,labels_received
39,1736527604.664703,start
24,1736527632.2689295,labels_received
40,1736527638.717531,start
25,1736527695.242333,labels_received
41,1736527699.6943183,start
42,1736527734.004909,start
26,1736527747.7631223,labels_received
43,1736527769.2570634,start
44,1736527804.5548954,start
27,1736527812.2030523,labels_received
28,1736527866.7894485,labels_received
45,1736527905.5743368,start
29,1736527935.1000605,labels_received
46,1736527946.196148,start
47,1736527981.2203405,start
30,1736528012.398455,labels_received
48,1736528025.6811242,start
31,1736528085.5013473,labels_received
32,1736528177.1918974,labels_received
49,1736528204.7544816,start
33,1736528238.1649852,labels_received
50,1736528248.069394,start
51,1736528286.4829707,start
34,1736528302.8173082,labels_received
52,1736528326.5038457,start
53,1736528367.2714422,start
35,1736528369.3393884,labels_received
54,1736528407.614002,start
55,1736528454.1640627,start
36,1736528487.82159,labels_received
56,1736528516.1749823,start
57,1736528557.6363451,start
37,1736528590.836161,labels_received
58,1736528600.1404462,start
59,1736528647.060615,start
38,1736528672.3928225,labels_received
60,1736528694.4981096,start
61,1736528741.9728825,start
39,1736528758.8998046,labels_received
62,1736528787.173134,start
63,1736528839.891961,start
40,1736528852.2732618,labels_received
64,1736528892.8324063,start
41,1736528911.8642592,labels_received
65,1736528943.5613017,start
42,1736528950.260654,labels_received
66,1736528993.0694437,start
43,1736529006.5309455,labels_received
67,1736529044.1809392,start
68,1736529096.0756364,start
44,1736529096.6976612,labels_received
69,1736529146.885095,start
45,1736529169.644277,labels_received
70,1736529199.2624202,start
71,1736529254.0068626,start
46,1736529261.2809849,labels_received
72,1736529307.9713554,start
73,1736529359.8926244,start
47,1736529362.861641,labels_received
74,1736529414.8543272,start
48,1736529426.797913,labels_received
75,1736529488.6931045,start
49,1736529499.4540975,labels_received
76,1736529556.7893276,start
77,1736529624.931807,start
50,1736529639.1222486,labels_received
78,1736529694.0401523,start
51,1736529736.4535828,labels_received
79,1736529770.2042942,start
52,1736529828.9273558,labels_received
80,1736529841.4513714,start
81,1736529920.2453976,start
53,1736529938.3438275,labels_received
82,1736529997.5345416,start
54,1736530059.1291254,labels_received
83,1736530067.2053156,start
84,1736530144.7874362,start
55,1736530175.4503417,labels_received
85,1736530226.5062115,start
56,1736530273.0813153,labels_received
86,1736530303.918846,start
87,1736530382.982367,start
57,1736530389.3434803,labels_received
88,1736530456.6013892,start
58,1736530508.717122,labels_received
89,1736530528.998501,start
90,1736530601.240538,start
59,1736530626.297439,labels_received
60,1736530735.6430578,labels_received
61,1736530855.3468163,labels_received
62,1736530998.6529202,labels_received
63,1736531095.3702185,labels_received
64,1736531191.0243373,labels_received
65,1736531274.3929782,labels_received
66,1736531379.043664,labels_received
67,1736531471.911242,labels_received
68,1736531553.5203762,labels_received
69,1736531666.3166115,labels_received
70,1736531846.7004385,labels_received
71,1736532115.036421,labels_received
72,1736532408.008246,labels_received
73,1736532625.259766,labels_received
74,1736532825.2855992,labels_received
75,1736533174.1351593,labels_received
76,1736533506.8563664,labels_received
77,1736533791.8510509,labels_received
78,1736534144.9074252,labels_received
79,1736534398.6456122,labels_received
80,1736534779.6864138,labels_received
81,1736535140.2672856,labels_received
82,1736535599.6183648,labels_received
83,1736535915.5235338,labels_received
84,1736536192.064521,labels_received
85,1736536447.3062148,labels_received
86,1736536704.6588235,labels_received
87,1736536965.7625265,labels_received
88,1736537234.303639,labels_received
89,1736537484.8650177,labels_received
90,1736537750.0507154,labels_received
